"Baby sunshade top", "Soft, stretchy polyester fabric is fast wicking, quick drying and breathable Details: Lap shoulders relax the silhouette Extended roll-down cuffs accommodate growth spurts; drop hem waist provides extra coverage Fabric: 4.3-oz 100% polyester jersey. Recyclable through the Common Threads Recycling Program Weight:  Made in Vietnam."
"Baggies shorts", "Even Baggies, our most popular shorts for anything, or nothing, occasionally need an update. This season we ve increased the inseam length. Their casual fit, quick-drying water-repellent nylon and elasticized waistband with an internal drawstring remain the same as ever. Other features include a polyester mesh lining, a rear snap pocket and front pockets (with self-draining mesh corners) positioned to reduce drag in the water. Inseam (size M) is 7 . Recyclable through the Common Threads Recycling Program. Details: Quick-drying nylon with a DWR (durable water repellent) finish Elasticized waistband with internal drawstring; black mesh liner Vertical on-seam side pockets for reduced drag in the water; pocket bags have quick-drain-and-dry mesh corners; snap-closed back pocket Inseam is 7 Fabric: 4.2-oz 100% nylon with a DWR finish. Lining: 5.2-oz 100% polyester mesh. Recyclable through the Common Threads Recycling Program Weight:  Made in Nicaragua."
"Beach bucket", "Whenever you re at the junction of water and land, neutralize the sun s unforgiving rays with the wide brim and soft design of our versatile Beach Bucket. It has a durable, semi-rigid foam bill that is black underneath and casts refreshing 360-degree shade. The 6.8-oz 100% stretch-woven nylon fabric looks and feels like soft canvas, but provides water-shedding, fast-drying performance. Details: a moisture-wicking Coolmax headband, soft chin strap and an adjustable rear buckle for a reliable bond. Fabric 6.8-oz 100% stretch-woven nylon with DWR (durable water repellent) finish. Details: Tough, easy care, stretch-woven nylon brim has durable, semi-rigid foam that floats The bill provides 360-degree sun protection Black underbill to reduce glare Soft chin strap; moisture-wicking Coolmax headband; adjustable rear buckle Fabric: 6.8-oz 100% stretch-woven nylon with DWR (durable water repellent) finish Weight:  Made in China."
"Better sweater jkt", "June nights camped out in New Mexico s Navajo country are starry and cold. Layer up in the softest fleece we ve spun to date. Made from high-performance, sweater-knit polyester fleece, the Better Sweater is warm as wool and technically proficient. The stand-up collar has a zipper garage, and handwarmer pockets keep your fingers cozy. Recyclable through the Common Threads Recycling Program. Details: Soft fleece has a sweater-knit face, fleeced interior and heathered overdyed yarns Stand-up collar and full zip with garage Raglan sleeves Handwarmer pockets Fabric: 9.5-oz 100% polyester with sweater-knit exterior and fleece interior. Recyclable through the Common Threads Recycling Program Weight:  Made in Thailand."
"Bucket hat", "Besides its shade-casting prowess, the Bucket provides perfect eye cover after an extra-large fish taco fest. It s made from soft, fast-drying 100% nylon with a water-shedding finish to repel rain and ocean spray. The Bucket Hat features a time-tested design with a linear crown, crushable brim and ventilation holes to keep your noggin from hard-boiling. It also rolls into its own inside pocket. Details: Lightweight, fast-drying, easy-care fabric DWR (durable water repellent) finish sheds rain and ocean spray Crushable, 360-degree brim provides complete sun protection Rolls into its inside pocket Fabric: 4.2-oz 100% nylon with a DWR (durable water repellent) finish Weight:  Made in China."
"City by the sea t-shirt", "Illustrating the renaissance of sea-inspired, community living, artist Geoff McFetridge s work adorns the City-By-The-Sea T-Shirt. Lightweight, 100% organic cotton fabric is ringspun for softness. Taped shoulder seams prevent chafing. PVC- and phthalate-free inks are easier on the environment. The tee is Recyclable through the Common Threads Recycling Program. Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-free Fabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program Weight:  Made in USA."
"Compound cargo pants - long", "The ultimate do-everything pants, built to withstand daily abuse. With cargo pockets modeled after vintage army blocks, our Compound Cargos are perfect for hitting the trail with a stash of climbing shoes, multitools, spare fins, wax, dry salami and the odd can of beer. Additional pocketing includes two generous front drop-in and two rear with hidden button-flap closures. Made from tough 5.5-oz organic cotton ripstop that has the tear strength of standard 8-oz material, they re hardy but lightweight and ready for action. Inseams (size 32): short, 30 ; regular, 32 ; long, 34 . Recyclable through the Common Threads Recycling Program. Details: Lightweight yet durable organic cotton ripstop Features our new fit block Two generous wide-entry drop-in front pockets Two side-seam cargo pockets with hidden button flap Two rear pockets with hidden button flap Inseam is 34 Fabric: 5.5-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling Program Weight:  Made in Thailand."
"Compound cargo pants - reg", "The ultimate do-everything pants, built to withstand daily abuse. With cargo pockets modeled after vintage army blocks, our Compound Cargos are perfect for hitting the trail with a stash of climbing shoes, multitools, spare fins, wax, dry salami and the odd can of beer. Additional pocketing includes two generous front drop-in and two rear with hidden button-flap closures. Made from tough 5.5-oz organic cotton ripstop that has the tear strength of standard 8-oz material, they re hardy but lightweight and ready for action. Inseams (size 32): short, 30 ; regular, 32 ; long, 34 . Recyclable through the Common Threads Recycling Program. Details: Lightweight yet durable organic cotton ripstop Features our new fit block Two generous wide-entry drop-in front pockets Two side-seam cargo pockets with hidden button flap Two rear pockets with hidden button flap Inseam is 32 Fabric: 5.5-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling Program Weight:  Made in Thailand."
"Continental shorts", "Wrinkle-resistant travel shorts that do what any great mountainside-to-museum garment should: wick moisture, dry quickly, and look sharp after successive days of use. The Continentals deploy our classic Guide fabric - a tough, agile blend of 53% polyester and 47% nylon with a DWR (durable water repellent) finish. Details include drop-in front pockets and two cargo and two rear pockets (each with one zipper closure and one hook-and-loop velcro closure). Regular fit; inseam (size 32) is 10 1  2 . Recyclable through the Common Threads Recycling Program. Details: Wrinkle-resistant, fast-drying polyester and nylon blend Zip fly with button closure Drop-in front pockets Rear cargo pockets: right zippered; left with hook-and-loop closure Side-seam cargo pockets: one zippered security, one with hook-and-loop for easy-access DWR finish Inseam is 10 1  2 Fabric: 5.2-oz 53% polyester  47% nylon with a DWR finish. Recyclable through the Common Threads Recycling Program Weight: 269 g  Made in Vietnam."
"Cotton board shorts", "A classic in fabric and form, the 5.6-oz 100% organic cotton brushed canvas of these board shorts provides lightweight durability in and out of the water, with a pattern inspired by plantation-era cane field workshirts. A self-fabric waistband and flat-lying 2-button fly are cleanly styled, and the flapped patch pocket with metal button closure has double-needle stitched seams. Inseam (size 32) is 10 ; outseam is 20 . Recyclable through the Common Threads Recycling Program. Details: A Hawaiian classic in fabric and form Fabric pattern inspired by plantation-era cane field workshirts Self-fabric waistband with a flat-lying 2-button fly Flapped patch pocket with metal button closure and double-needle stitched seams Inseam (size 32) is 10 ; outseam is 20 Now available in size 29 Fabric: 5.6-oz 100% organic cotton brushed canvas. Recyclable through the Common Threads Recycling Program Weight:  Made in Thailand."
"Crosstown", "Crosstown or cross-country, this fully featured commuter backpack ensures that your life stays organized whether you re office-bound, hiking the steep and narrow, or somewhere in the global commute. Inside its zippered main compartment, it features a suspended, self-adjusting padded laptop sleeve that handles a 15 to 17 laptop. A secondary zippered compartment opens to a portable office organizer system. With a front catch-all sleeve (with hidden zipper) that provides easy access to documents; a stretch-woven water-bottle pocket and a fleece-lined top pocket that protects sunglasses or electronics; 3-D spacer-mesh backpack straps and back padding for comfort and breathability; an adjustable sternum strap with built-in safety whistle. Made from 150-denier all-recycled polyester double weave with a polyurethane coating and a DWR (durable water repellent) finish. Details: Large, zippered main compartment has fully padded, suspended laptop sleeve and separate internal mesh organizer sleeve; second zippered compartment has office organizer pockets Front catch-all sleeve with hidden zipper provides easy-access to documents, tickets and other important materials; Side organizer pocket with detachable key chain Stretch-woven water bottle pocket; fleece-lined top pocket for sunglasses or electronics 3-D spacer-mesh straps and back pad wick moisture, dry quickly and allow air circulation; shoulder straps have slots for clip-on attachments; adjustable sternum strap with built-in safety whistle Web carrying handle Stowable attachment straps Holds 15 - 17 laptop Fabric: 7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder straps: 100% polyester 3-D spacer mesh Weight:  Made in Vietnam."
"Custodian pants - long", "The graveyard shift has its advantages: quitting time = dawn patrol. Our Custodian Pants are defined by their strong work ethic. They re made from a tough but comfortable 5.2-oz organic cotton canvas, with a flat front, generous wide-entry front pockets, welted back pockets, and a zip fly with button closure. Inseams (size 32): short, 30 ; regular, 32 ; long, 34 . Recyclable through the Common Threads Recycling Program. Details: Lightweight organic cotton canvas Zip fly with button closure Flat front with offset side seams Generous wide-entry front pockets; welted back pockets Inseam is 34 Fabric: 5.2-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program Weight:  Made in Thailand."
"Deep wading jkt", "Whether you re chasing Olympic Peninsula chrome or reaching for stripers beyond the break, sometimes you simply have to jump in and go deep. This ultra-lightweight jacket is cut above the waist for serious wading. Its minimalist design has all you need from a waterproof  breathable fishing shell (and nothing more). In addition to a full-visibility hood, reversed StretchCoat cuffs and roomy, zippered fly box pockets, it now features fleece-lined handwarmer pockets. Made from a tough 2.5-layer ripstop nylon with a waterproof  breathable H2No barrier. Our shortest fishing jacket, the Deep Wading also has a relaxed fit to accommodate layers and a loaded vest. Details: 2.5-layer tear-resistant nylon with a Deluge DWR (durable water repellent) finish, waterproof  breathable H2No barrier and sealed seams is packable and lightweight; visibility  Houdini drawcord hood with single-pull adjustment Drawcord waist with drain holes External, zippered chest pockets (set high for wading and with drain holes), brushed polyester lined handwarmer pockets, hanging accessory loop inside right pocket Glued-in, coated reverse-coil main and chest pocket zippers are highly water resistant Gusseted reverse StretchCoat cuffs Two internal mesh pockets D-ring on back, hidden daisy chain above left side label Fabric: Shell: 2.5-layer, 2.7-oz 50-denier 100% nylon ripstop with a waterproof  breathable H2No barrier and a Deluge DWR finish. Cuffs: Reverse StretchCoat Weight:  Made in Vietnam."
"Delivery shorts", "Locals know all the best spots. Our Delivery Shorts are built for all-day comfort and durability, with simple, practical style. Made from a blend of 65% all-recycled polyester and 35% organic cotton, they re designed with a nod to our local deliverymen. Features include a flat front with offset side seams and a zip fly with button closure, generous wide-entry front pockets and welted back pockets. Inseam (size 32) is 11 . Recyclable through the Common Threads Recycling Program. Details: Soft yet durable 6-oz 65% recycled polyester blended with 35% organic cotton Zip fly with button closure Flat front with offset side-seams Generous wide-entry front pockets Welted back pockets Inseam is 11 Fabric: 6-oz 65% all-recycled polyester  35% organic cotton. Recyclable through the Common Threads Recycling Program Weight:  Made in Vietnam."
"Down sweater vest", "Impossible to confuse with the sweater vests found at golf courses and bingo parlors, ours comes packed with ultra-toasty 800-fill down that traps heat in alpine conditions. It has a minimalist design that practically floats, and is so compact it stuffs into its own stretch-mesh internal pocket (with a carabiner clip-in loop). The innovative, superlight 100% all-recycled polyester shell (1.4-oz 22-denier) with a DWR (durable water repellent) finish provides wind and water protection as well as a high tear-strength; quilting stabilizes the down. With zippered handwarmer pockets and a drawcord hem. Details: Superlight, windproof and water-resistant shell has high tear-strength Quilted construction stabilizes premium 800-fill-power European goose down insulation Center-front zipper External pockets: two zippered handwarmers Interior pocket: one zippered stretch-mesh that doubles as a stuff sack with carabiner clip-in loop Elastic binding at armholes Drawcord hem Fabric: Shell and lining: 1.4-oz 22-denier 100% all-recycled polyester with Deluge DWR (durable water repellent) finish. Insulation: 800-fill-power premium European goose down Weight: 243 g  Made in China."
"Dragoons t-shirt", "These dragoons have dropped their weapons in favor of big wave guns. Artist Geoff McFetridge s work creates a peaceful quiver on the Dragoons T-Shirt. The tee is made from 100% organic cotton fabric; PVC- and phthalate-free screen print inks are easier on the environment. The lightweight tee has ringspun yarns and taped shoulder seams for a soft hand. Recyclable through the Common Threads Recycling Program. Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-free Fabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program Weight:  Made in USA."
"Duck pants - long", "Essential wear for splitting logs, driving nails or applying a little more chewing gum to the crack in the U-joint. Our classic do-alls come in a substantial but light and supple 8-oz organic cotton canvas. With style that is dictated by function, they have a flat front, slant side-entry front pockets and welted, button-through rear pockets. Garment-washed. Inseam (size 32) is 32 for the regular version; 30 for the short; 34 for the long. Recyclable through the Common Threads Recycling Program. Details: Supple organic cotton Classic flat-front styling Slant side-entry front pockets; welted, button-through rear pockets Inseam is 34 Fabric: 8-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program Weight: 532 g  Made in Thailand."
"Elias fz sweatshirt", "Clean as a Wingate splitter. Our Elias is made from a welcoming blend of 95% organic cotton and 5% spandex in an athletic, climbing cut. The pockets rise above your harness and the stand-up neck adds a wind barrier to warm up an early season cragging session. The full-zip front makes it easy to take on and off between laps. Recyclable through the Common Threads Recycling Program. Details: Ultrasoft 95% organic cotton fleece has 5% spandex for stretch Full-zip with handwarmer pockets Fabric: 7.6-oz 95% organic cotton fleece  5% spandex. Recyclable through the Common Threads Recycling Program Weight: 447 g  Made in Turkey."
"Elias sweatshirt", "The dirtbagger s complete wardrobe - wear it bouldering, working the slack line, and setting up a bivy out of view of the ranger s probing eyes. It has a hospitable mix of 95% organic cotton with 5% spandex for suppleness on dynamic moves. When clouds grow ominous, throw the 4-panel hood up to seal in your heat; keep your fingers warm and ready for crimping with the roomy kangaroo pouch pocket. Offset shoulder seams and a clean silhouette stay smooth under your packstraps and harness. Recyclable through the Common Threads Recycling Program. Details: Ultrasoft organic cotton fleece has 5% spandex for stretch Pullover hoody with kangaroo pouch pocket Boulder screen print on center chest by Jenny Uehisa Fabric: 7.6-oz 95% organic cotton fleece  5% spandex. Recyclable through the Common Threads Recycling Program Weight:  Made in Turkey."
"Fezzman shirt", "Look fresh even when you feel disheveled. Made with 65% lightweight, breathable, all-recycled polyester and 35% organic cotton plain weave, the Fezz won t wrinkle in the tightest corner of your travel duffel. Recyclable through the Common Threads Recycling Program. Details: Lightweight breathable all-recycled polyester  organic cotton plain weave Single chest pocket Modest tails Fabric: 2.9-oz 65% all-recycled polyester  35% organic cotton plain weave. Recyclable through the Common Threads Recycling Program Weight:  Made in Thailand."
"Fish frenzy t-shirt", "Dependent on free-flowing currents, the Salmon s extraordinary cycle of life perseveres with the Fish Frenzy T-Shirt. Washington-based artist Nikki McClure s work appears on the tee s 100% organic cotton canvas. Ringspun fabric yarns and taped shoulder seams create a soft hand. PVC- and phthalate-free inks are easier on the environment. The shirt is recyclable through the Common Threads Recycling Program. Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-free Fabric: 5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program Weight:  Made in USA."
"Freewheeler", "This sturdy wheeled bag holds a week s worth of clothes and keeps boots or dirty gear in a separate compartment, a floating baffle separating the two. The zippered, easy-access end compartment and internal mesh toiletry pocket fight the forces of chaos to keep you organized. A light-colored lining makes it easy to see what you have stashed inside. Structurally, impact-resistant skidplates and the tough-as-nails molded bottom pan stand up to brutal treatment, while smooth-rolling 80-mm wheels steered by a 2-position retractable handle get you where you re going. With haul handles at both ends, external compression straps to cinch the load and  or attach bulky items, and batten supports on the sides that keep the bag standing upright but collapse for easy storage. Made from tough 1,200-denier polyester (100% recycled) that has a polyurethane coating and DWR (durable water repellent) finish; with a molded foam and ballistics nylon bottom. Details: Main compartment holds a week s worth of clothes; fully lined lower compartment separates boots and gear from clothing Floating baffle allows the load to expand into either compartment; zippered end compartment for easy-access items Interior mesh pocket for toiletries; light-colored lining makes contents easy to find Smooth-rolling 80-mm wheels provide plenty of clearance; impact-resistant skidplates Molded bottom pan resists abrasion and protects contents; 2-position retractable handle makes steering easy Haul handles at either end; external compression straps Stowable business card holder lets you ID your bag; batten supports on sides keep bag standing and collapse for easy storage Fabric: 11-oz 1200-denier 100% all-recycled polyester. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Bottom: Molded foam and ballistics cloth Weight:  Made in Philippines."
"Gi ii pants", "The travel-tested, quick-drying durability of Gi II Pants stand up to rock and river, and provide life-of-the-garment 40-UPF sun protection. Made from superlight 3.7-oz 100% Supplex nylon twill with a gusseted crotch for wide-stemming maneuvers. Details include a low profile buckle-closure elastic waist (which fits under a harness), change-safe on-seam pockets with mesh drains, a side-leg zippered pocket large enough for a map (with internal key loop) and a zippered rear pocket. Now, with an modernized fit that is wider at the ankle. Inseam (size M) is 33 . Recyclable through the Common Threads Recycling Program. Details: Updated fit; durable, quick-drying nylon twill Fixed web belt with elasticized waist, separating buckle and button-through zip fly Change safe on-seam front pockets with polyester mesh for drainage Zippered side-pocket on leg is large enough for a map and has an internal key loop Zippered back pocket Gusseted crotch Inseam is 33 Fabric: 3.7-oz 100% Supplex nylon twill with 40-UPF sun protection. Recyclable through the Common Threads Recycling Program Weight:  Made in Colombia."
"Gi ii shorts", "Base camp favorites, the Gi II s featherlight weight and motion-friendly crotch gusset invite day hikes, bouldering sessions, and dips in the creek. Soft, tough nylon twill provides 40-UPF sun protection, dries fast and packs small when you take your show on the road. The elastic waist has a separating low-profile buckle and button-through zip fly. Two self-draining front pockets, rear zip pocket and a beer-bottle-sized zippered drop-in thigh pocket. Inseam length (size M) is 11 . Details: Updated fit Tough, quick-drying nylon fabric Elasticized waist with fixed webbing belt, separating buckle and button-through zip fly Two self-draining front pockets, rear zip pocket and a beer-bottle-sized zippered thigh pocket with hook-and-loop closure Gusseted crotch Inseam is 11 Fabric: 3.7-oz 100% Supplex nylon twill with 40-UPF sun protection. Recyclable through the Common Threads Recycling Program Weight:  Made in Colombia."
"Girl s boardie capris", "Built for two-week camping trips on Baja beaches, these capris are made of a lightweight, soft-brushed 3.7-oz 100% microfiber polyester that handles salt water, sand and dirt, dry quickly, and have a DWR (durable water repellent) finish. Two back darts and a built-in elastic waist adjustment hone the fit. Three-snap leg openings allow vented styling. With a hook-and-loop soft-tie fly and a self-draining back patch pocket. Hip-riding. Inseam is 18 . Recyclable through the Common Threads Recycling Program. Details: Lightweight, soft-brushed microfiber polyester dries quickly and has a Deluge DWR (durable water repellent) finish Two back darts and a built-in elastic waist adjustment hone the fit 3-snap leg openings allow vented styling Hook-and-loop, soft-tie fly and self-draining back patch pocket Hip-riding Inseam is 18 Fabric: 3.7-oz 100% microfiber polyester with a brushed face and a Deluge DWR finish. Recyclable through the Common Threads Recycling Program Weight:  Made in Colombia."
"Girl s boardie shorts", "So you re raising Neptune s daughter - put her in some boardies. Constructed of a durable and soft-brushed 3.7-oz 100% microfiber polyester, these shorts are DWR (durable water repellent) treated and dry quickly. Comfort and better performance come from forward seaming in the crotch and a partially elasticized waistband with a nylon drawcord closure. The zippered hip pocket lays flat and self-drains. Hip-riding; unlined. Inseam is 3 3  4 . Recyclable through the Common Threads Recycling Program. Details: Soft, durable lightweight microfiber polyester is quick-drying Partial elasticized waistband manages fit and comfort Forward seaming at crotch for mobility and comfort Board-short-inspired closure with a secure, easy-to-adjust nylon drawcord Zippered hip pocket lies flat, out of the way and drains Hip-riding and unlined 3 3  4 inseam Fabric: 3.7-oz 100% microfiber polyester with a brushed face and a DWR (durable water repellent finish). Recyclable through the Common Threads Recycling Program Weight:  Made in Colombia."
"Girl s cotton tank dress", "This soft cotton dress feels breezy and cool, just like a day at the beach. Made of a lightweight 5-oz 100% organic cotton jersey-knit fabric that breathes naturally and rests smoothly against skin. The partially elasticized waist provides shape and a flattering fit; it also encourages a full range of mobility. The versatile tank-top styling layers nicely, and pleated handwarmer pockets and front gathering details create a flattering fit. The hemline is just above the knees. Recyclable through the Common Threads Recycling Program. Details: Soft organic cotton jersey knit Tank style great for layering or alone Partial elasticized waist gives shape and comfort for freedom of movement Handwarmer pockets Hem hits above knee Fabric: 5-oz 100% organic cotton jersey. Recyclable through the Common Threads Recycling Program Weight:  Made in Turkey."
"Going big in b.c. poster", "One mans trash is another mans treasure. Orry Grant taking it out on Trash Chutes. Nelson, B.C. For 30 years we ve paid tribute to human adventures both near and far with a collection of photographs that speak to the passion, joy and beauty of lives spent outside. These photos have appeared exclusively on our Web site, in our catalog and on the walls of our retail stores and specialty outdoor clothiers around the world. And now we are excited to make select photos available to you as posters. We hope they brighten up your space and inspire you to get outside. Details: Dimensions: 24 x 36 Photo by Steve Ogle ?2009 Patagonia, Inc. Fabric: Printed with soy inks on 100% recycled paper Printed in USA."
